Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
10.08.2022,17.9231,17.8474,17.9658,17.8041,,0.26
10.08.2022,17.8758,17.9018,17.9667,17.715,,0.40
09.08.2022,17.8049,17.8944,17.9795,17.8049,,-0.58
09.08.2022,17.9081,17.9414,17.9839,17.5744,,0.08
08.08.2022,17.8944,17.9411,17.9726,17.8381,,-0.23
08.08.2022,17.9356,17.9316,18.0027,17.773,,0.13
05.08.2022,17.9126,17.9231,17.9745,17.7335,,0.01
04.08.2022,17.9101,17.8943,17.998,17.8883,,-0.10
04.08.2022,17.9273,17.9436,17.9789,17.7255,,0.17
03.08.2022,17.8972,17.9144,17.9869,17.892,,-0.24
03.08.2022,17.9404,17.9434,18.0015,17.7717,,0.15
02.08.2022,17.9144,17.9328,18.0863,17.9125,,-0.17
02.08.2022,17.9457,17.9193,17.9808,17.7994,,0.10
01.08.2022,17.9277,17.9069,17.9645,17.8507,,0.15
01.08.2022,17.9014,17.9061,17.9537,17.6587,,-0.07
29.07.2022,17.9148,17.9092,17.9814,17.5944,,0.02
28.07.2022,17.9114,17.9287,17.9697,17.7643,,-0.01
28.07.2022,17.9133,17.8907,17.9444,17.6883,,-0.09
27.07.2022,17.9291,17.8572,17.9768,17.8339,,0.23
27.07.2022,17.8876,17.8815,17.9555,17.6824,,0.13
26.07.2022,17.8653,17.8393,17.954,17.8229,,0.02
26.07.2022,17.862,17.7807,17.8748,17.3468,,0.11
25.07.2022,17.8422,17.7964,17.879,17.755,,0.22
25.07.2022,17.8037,17.7702,17.8818,17.6167,,0.35
22.07.2022,17.7415,17.7323,17.7892,17.4742,,0.14
21.07.2022,17.7173,17.7043,17.7966,17.6227,,0.01
21.07.2022,17.7153,17.6099,17.7586,17.3819,,0.10
20.07.2022,17.6978,17.5761,17.7726,17.5562,,0.52
20.07.2022,17.6059,17.4115,17.6206,17.2375,,0.17
19.07.2022,17.5761,17.5401,17.6267,17.472,,0.10
19.07.2022,17.5587,17.4333,17.5875,17.2985,,0.11
18.07.2022,17.5398,17.4375,17.5865,17.4197,,0.44
